ALLOC,GUI::smallobj,0x145fdf0,2064,RAM,1506,16106000
ALLOC,GUI::smallobj,0x1460630,8784,RAM,1506,16114784
ALLOC,SGSM::smallobj,0x14628f0,336,RAM,1508,16115120
ALLOC,SGSM::smallobj,0x1462a70,336,RAM,1508,16115456
ALLOC,SGSM::smallobj,0x1462bf0,3088,RAM,1509,16118544
ALLOC,SGSM::smallobj,0x1463870,784,RAM,1509,16119328
ALLOC,SGSM::smallobj,0x1463bf0,3088,RAM,1509,16122416
ALLOC,SGSM::smallobj,0x1464870,784,RAM,1510,16123200
ALLOC,SGSM::smallobj,0x1464bf0,3088,RAM,1510,16126288
LABEL,1512,global
ALLOC,GUI::smallobj,0x1465830,3216,RAM,1512,16129504
ALLOC,SGSM::smallobj,0x14664f0,2128,RAM,1513,16131632
ALLOC,GUI::smallobj,0x1466d70,528,RAM,1514,16132160
ALLOC,GUI::smallobj,0x1466fb0,1040,RAM,1514,16133200
FREE, ,0x1466d70,576,RAM,1515,16132624
ALLOC,GUI::smallobj,0x14673f0,2064,RAM,1515,16134688
FREE, ,0x1466fb0,1088,RAM,1516,16133600
ALLOC,System::FifaString,0x1d6a2b0,64,RAM,1516,16133664
FREE, ,0x1d6a2b0,64,RAM,1517,16133600
ALLOC,System::FifaString,0x1d6a2b0,64,RAM,1518,16133664
FREE, ,0x1d6a2b0,64,RAM,1518,16133600
ALLOC,System::FifaString,0x1d6a2b0,64,RAM,1519,16133664
FREE, ,0x1d6a2b0,64,RAM,1519,16133600
ALLOC,GUI::smallobj,0x1467c30,4112,RAM,1519,16137712
FREE, ,0x14673f0,2112,RAM,1520,16135600
ALLOC,GUI::smallobj,0x1466d30,528,RAM,1521,16136128
ALLOC,System::FifaString,0x1d6a2b0,64,RAM,1521,16136192
FREE, ,0x1d6a2b0,64,RAM,1522,16136128
ALLOC,System::FifaString,0x1d6a230,192,RAM,1522,16136320
FREE, ,0x1d6a230,192,RAM,1523,16136128
ALLOC,System::FifaString,0x1d6a1f0,256,RAM,1523,16136384
ALLOC,System::FifaString,0x1d6a130,192,RAM,1524,16136576
ALLOC,System::FifaString,0x1d6a070,192,RAM,1524,16136768
FREE, ,0x1d6a130,192,RAM,1524,16136576
ALLOC,System::FifaString,0x1d69fb0,192,RAM,1525,16136768
FREE, ,0x1d6a070,192,RAM,1525,16136576
ALLOC,System::FifaString,0x1d6a130,192,RAM,1526,16136768
FREE, ,0x1d6a1f0,256,RAM,1526,16136512
FREE, ,0x1d69fb0,192,RAM,1527,16136320
FREE, ,0x1d6a130,192,RAM,1527,16136128
ALLOC,System::FifaString,0x1d6a2b0,64,RAM,1527,16136192
FREE, ,0x1d6a2b0,64,RAM,1528,16136128
ALLOC,System::FifaString,0x1d6a2b0,64,RAM,1528,16136192
FREE, ,0x1d6a2b0,64,RAM,1529,16136128
ALLOC,System::FifaString,0x1d6a2b0,64,RAM,1529,16136192
FREE, ,0x1d6a2b0,64,RAM,1530,16136128
ALLOC,System::FifaString,0x1d6a2b0,64,RAM,1531,16136192
FREE, ,0x1d6a2b0,64,RAM,1531,16136128
LABEL,1532,intro/boot
ALLOC,ASYNCFILEBUF,0x1468c70,4624,RAM,1533,16140752
LABEL,1533,back/02_back
LABEL,1533,back/01_back
ALLOC,GUI::smallobj,0x1469eb0,34960,RAM,1534,16175712
ALLOC,SGSM::smallobj,0x1466f70,2128,RAM,1534,16177840
ALLOC,SGSM::smallobj,0x14677f0,528,RAM,1535,16178368
LABEL,1536,trans/trans
LABEL,1537,audio/fe_audio
LABEL,1537,loading/load_big
LABEL,1537,online/dscnpop
ALLOC,GUI::smallobj,0x1472770,528,RAM,1539,16178896
ALLOC,System::FifaString,0x1d6a2b0,64,RAM,1539,16178960
FREE, ,0x1d6a2b0,64,RAM,1540,16178896
ALLOC,ASYNCFILEBUF,0x14729f0,3329488,RAM,1542,19508384
ALLOC,GUI::smallobj,0x179f7f0,2064,RAM,1542,19510448
ALLOC,SGSM::smallobj,0x17a0070,2128,RAM,1543,19512576
LABEL,1543,back/g15
ALLOC,GUI::smallobj,0x17a08f0,17936,RAM,1544,19530512
ALLOC,SGSM::smallobj,0x17a4f70,2128,RAM,1544,19532640
LABEL,1545,back/g14
ALLOC,GUI::smallobj,0x17a57f0,5200,RAM,1545,19537840
ALLOC,SGSM::smallobj,0x17a6c70,2128,RAM,1546,19539968
LABEL,1546,back/g13
ALLOC,GUI::smallobj,0x17a74f0,33296,RAM,1547,19573264
ALLOC,SGSM::smallobj,0x17af770,2128,RAM,1547,19575392
ALLOC,SGSM::smallobj,0x1467a70,448,RAM,1548,19575840
LABEL,1549,back/g12
ALLOC,GUI::smallobj,0x17afff0,15952,RAM,1549,19591792
ALLOC,SGSM::smallobj,0x17b3e70,2128,RAM,1549,19593920
ALLOC,SGSM::smallobj,0x17b46f0,336,RAM,1550,19594256
LABEL,1551,back/g11
ALLOC,GUI::smallobj,0x17b4870,5200,RAM,1551,19599456
ALLOC,SGSM::smallobj,0x17b5cf0,2128,RAM,1552,19601584
LABEL,1552,back/g10
ALLOC,GUI::smallobj,0x17b6570,18576,RAM,1552,19620160
ALLOC,SGSM::smallobj,0x17bae70,2128,RAM,1553,19622288
LABEL,1554,back/g7
ALLOC,GUI::smallobj,0x17bb6f0,12560,RAM,1554,19634848
ALLOC,SGSM::smallobj,0x17be870,2128,RAM,1554,19636976
ALLOC,SGSM::smallobj,0x17bf0f0,400,RAM,1555,19637376
LABEL,1556,back/g6
ALLOC,GUI::smallobj,0x17bf2b0,5200,RAM,1557,19642576
ALLOC,SGSM::smallobj,0x17c0770,2128,RAM,1557,19644704
LABEL,1557,back/g5
ALLOC,GUI::smallobj,0x17c0ff0,5200,RAM,1558,19649904
ALLOC,SGSM::smallobj,0x17c2470,2128,RAM,1558,19652032
LABEL,1559,back/g4
ALLOC,GUI::smallobj,0x17c2cf0,6608,RAM,1559,19658640
ALLOC,SGSM::smallobj,0x17c46f0,2128,RAM,1560,19660768
LABEL,1561,back/g3
ALLOC,GUI::smallobj,0x17c4f70,5200,RAM,1561,19665968
ALLOC,SGSM::smallobj,0x17c63f0,2128,RAM,1562,19668096
LABEL,1562,back/g1
ALLOC,GUI::smallobj,0x17c6c70,27024,RAM,1563,19695120
ALLOC,SGSM::smallobj,0x17cd670,2128,RAM,1563,19697248
ALLOC,SGSM::smallobj,0x17cdef0,528,RAM,1564,19697776
ALLOC,GUI::temp URL buf,0x1d6a270,128,RAM,1566,19697904
FREE, ,0x1d6a270,128,RAM,1566,19697776
